cluster_id;alarm_id;ne_id;NOTE SPV;domain;network;ne_type;std_probable_cause_no;geo_code;first_occurrence;last_occurrence
25389;"EFMTX;65eed1335e16e30001ac4462";civiitad/pxm3/1;CORRELAZIONE OK CLUSTER 25389;tx;sdh;pxm3;optical power rx low opr lt;civi;2024-03-11 10:38:59;2024-03-11 11:30:45
25389;"EFMTX;65eed21e53da8b00018bf1c5";civiitad/pxm3/1;CORRELAZIONE OK CLUSTER 25389;tx;sdh;pxm3;loss of signal los;civi;2024-03-11 10:42:54;2024-03-11 11:10:11
25393;"EFMTX;65eed22d2df6860001e3b999";ladiitak/romaitgc;CORRELAZIONE OK CLUSTER 25389;tx;sdh;;receiverfailure och internal receiver failure;ladi;2024-03-11 10:43:09;2024-03-11 12:15:38
25393;"EFMTX;65eed22d2df6860001e3b998";ladiitak/romaitgc;CORRELAZIONE OK CLUSTER 25389;tx;sdh;;receiverfailure och internal receiver failure;ladi;2024-03-11 10:43:09;2024-03-11 12:16:10
25393;"EFMTX;65eed2695e16e30001ac446d";ladiitak/romaitgc;CORRELAZIONE OK CLUSTER 25389;tx;sdh;;receiverfailure och internal receiver failure;ladi;2024-03-11 10:44:09;2024-03-11 12:15:23
25393;"EFMTX;65eed2a506e2d20001aeb8eb";ladiitak/romaitgc;CORRELAZIONE OK CLUSTER 25389;tx;sdh;;receiverfailure och internal receiver failure;ladi;2024-03-11 10:45:09;2024-03-11 12:15:24
25393;"EFMTX;65eed1477a13f70001b9c8b2";ladiitak/pxm3/1;CORRELAZIONE OK CLUSTER 25389;tx;sdh;pxm3;optical power rx low opr lt;ladi;2024-03-11 10:39:19;2024-03-11 11:10:02
25393;"EFMTX;65eed1477a13f70001b9c8b6";ladiitak/pxm3/1;CORRELAZIONE OK CLUSTER 25389;tx;sdh;pxm3;optical power rx low opr lt;ladi;2024-03-11 10:39:19;2024-03-11 11:12:51
25400;"EFMTX;65eed1e6ce901400013b69d9";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:41:58;2024-03-11 12:16:09
25400;"EFMTX;65eed1e3ce901400013b69d1";romaitbh/pxm3/1;CORRELAZIONE ERRATA SU CLUSTER 25400;tx;sdh;pxm3;receiverfailure och internal receiver failure;roma;2024-03-11 10:41:55;2024-03-11 12:15:24
